Report Origin = (0.0, 0.0)
Units used = "mil"
"Name","layer","CenterX","CenterY","Orientation"
"R193", "Top", "2470.000", "3070.000", "180"
"R205", "Bottom", "635.081", "3074.789", "180"
"R206", "Bottom", "635.081", "3129.789", "180"
"R207", "Bottom", "635.081", "2961.347", "0"
"R208", "Bottom", "635.081", "3016.347", "180"
"R209", "Bottom", "849.074", "3051.164", "0"
"R210", "Bottom", "3580.102", "3281.507", "0"
"R211", "Bottom", "3580.006", "3359.003", "0"
"R212", "Bottom", "3767.454", "3263.049", "180"
"R213", "Top", "2470.000", "3020.000", "0"
"R214", "Top", "2020.000", "2850.000", "0"
"R215", "Top", "2470.000", "3170.000", "0"
"R216", "Top", "1820.000", "3050.000", "0"
"R217", "Top", "1960.172", "3439.577", "270"
"R218", "Top", "2310.172", "3439.577", "270"
"R219", "Top", "2010.172", "3439.577", "270"
"R220", "Bottom", "1960.172", "3439.577", "270"
"R221", "Bottom", "2060.172", "3439.577", "270"
"R222", "Bottom", "1820.000", "3150.000", "180"
"R223", "Bottom", "2160.172", "3439.577", "270"
"R224", "Bottom", "1820.000", "3050.000", "180"
"R225", "Bottom", "1820.000", "2900.000", "180"
"R226", "Bottom", "1820.000", "3000.000", "180"
"R227", "Bottom", "2010.172", "3439.577", "270"
"R228", "Bottom", "1820.000", "3300.000", "180"
"R229", "Top", "1820.000", "3150.000", "0"
"R230", "Bottom", "2310.172", "3439.577", "270"
"R231", "Top", "2060.172", "3439.577", "270"
"R232", "Top", "1820.000", "3300.000", "0"
"R233", "Bottom", "2260.172", "3439.577", "270"
"R234", "Bottom", "1820.000", "3250.000", "180"
"R235", "Bottom", "2210.172", "3439.577", "270"
"R236", "Bottom", "1820.000", "3200.000", "180"
"R237", "Top", "2110.172", "3439.577", "270"
"R238", "Top", "1820.000", "3200.000", "0"
"R239", "Top", "2260.172", "3439.577", "270"
"R240", "Top", "1820.000", "3250.000", "0"
"R241", "Top", "2210.172", "3439.577", "270"
"R242", "Top", "2020.000", "3120.000", "180"
"R243", "Top", "2020.000", "3170.000", "180"
"R244", "Top", "1820.000", "3000.000", "180"
"R245", "Top", "1820.000", "2950.000", "180"
"R273", "Bottom", "1064.580", "4067.365", "270"
"R274", "Bottom", "1143.321", "4067.365", "270"
"R275", "Bottom", "1222.061", "4067.365", "270"
"R276", "Bottom", "1300.801", "4067.365", "270"
"R277", "Bottom", "1379.541", "4067.365", "270"
"R278", "Bottom", "1458.281", "4067.365", "270"
"R279", "Bottom", "5909.562", "2599.383", "0"
"R280", "Bottom", "1537.021", "4067.365", "270"
"S2", "Top", "2750.000", "3900.000", "90"
"S3", "Top", "3050.000", "3900.000", "90"
"SOCKET0", "Top", "4512.795", "1771.654", "0"
"SW1", "Top", "5904.370", "3000.000", "90"
"TP1", "Top", "3227.161", "3393.047", "0"
"TP2", "Top", "256.649", "1014.558", "0"
"TP3", "Top", "5307.666", "1100.639", "0"
"U1", "Top", "338.868", "3062.793", "180"
"U2", "Top", "3618.705", "790.246", "180"
"U3", "Top", "198.868", "3062.793", "180"
"U4", "Bottom", "3301.921", "3598.434", "90"
"U5", "Bottom", "4197.055", "998.762", "0"
"U6", "Top", "5669.291", "2283.465", "0"
"U7", "Top", "3191.843", "749.141", "90"
"U8", "Top", "3665.575", "3330.194", "270"
"U9", "Top", "1216.698", "2610.636", "180"
"U10", "Top", "4878.510", "689.926", "180"
"U12", "Top", "1969.174", "660.000", "0"
"U15", "Top", "5259.108", "2773.784", "90"
"U16", "Bottom", "5669.291", "1496.063", "180"
"U17", "Top", "2755.906", "2992.126", "180"
"U19", "Top", "3692.170", "2777.990", "90"
"U21", "Top", "2244.094", "2992.126", "180"
"U22", "Top", "3693.176", "3018.840", "180"
"U25", "Top", "775.618", "1804.231", "270"
"U26", "Top", "619.001", "2613.297", "180"
"U27", "Top", "1204.069", "3286.339", "180"
"U28", "Top", "1223.427", "1024.890", "180"
"U29", "Top", "248.183", "1389.594", "90"
